epoch,benign_indices,malicious_indices
0,"0;3;4;5;6;8;9","1;2;7"
1,"0;2;3;4;6;9","1;5;7;8"
2,"0;3;4;5;6;7;9","1;2;8"
3,"0;2;4;5;6;7;8;9","1;3"
4,"0;2;3;4;6;7;9","1;5;8"
5,"0;2;3;4;6;7;9","1;5;8"
6,"0;1;2;5;7;8;9","3;4;6"
7,"0;3;4;5;8;9","1;2;6;7"
8,"3;4;6;7;9","0;1;2;5;8"
9,"2;7;8;9","0;1;3;4;5;6"
10,"0;2;4;5;6;7;8;9","1;3"
11,"2;3;7;9","0;1;4;5;6;8"
12,"2;3;4;5;9","0;1;6;7;8"
13,"2;3;4;5;7;8;9","0;1;6"
14,"2;3;5;6;8;9","0;1;4;7"
15,"0;2;3;4;7;8;9","1;5;6"
16,"1;2;3;4;5;6;7;8","0;9"
17,"0;2;3;5;6;7;8;9","1;4"
18,"0;2;3;6;8;9","1;4;5;7"
19,"0;2;3;4;5;7;8;9","1;6"
20,"0;2;5;8;9","1;3;4;6;7"
21,"0;2;4;5;6;7;8;9","1;3"
22,"2;3;4;6;9","0;1;5;7;8"
23,"0;2;3;4;6;7;8;9","1;5"
24,"0;2;3;4;5;7;8;9","1;6"
25,"1;2;3;4;5;7;9","0;6;8"
26,"2;3;5;6;7;8","0;1;4;9"
27,"0;3;4;6;7;8;9","1;2;5"
28,"0;2;3;4;6;9","1;5;7;8"
29,"1;2;3;4;6;7;8;9","0;5"
30,"1;2;3;4;7;8;9","0;5;6"
31,"2;3;4;6;7;8;9","0;1;5"
32,"0;2;3;4;6;7;8;9","1;5"
33,"0;2;3;4;5;7;8;9","1;6"
34,"0;2;3;4;5;8;9","1;6;7"
35,"1;3;4;5;6;7;8","0;2;9"
36,"0;1;3;4;5;7;8;9","2;6"
37,"0;2;3;5;7;8","1;4;6;9"
38,"2;8","0;1;3;4;5;6;7;9"
39,"0;2;4;5;6;7;8;9","1;3"
40,"0;1;2;5;6;7;8;9","3;4"
41,"2;3;4;5;6;8;9","0;1;7"
42,"0;1;3;4;5","2;6;7;8;9"
43,"0;1;2;3;4;5;8;9","6;7"
44,"0;1;2;3;4;6;7;9","5;8"
45,"0;1;2;3;5;8;9","4;6;7"
46,"0;1;3;4;6;7;8;9","2;5"
47,"0;1;2;3;7;8;9","4;5;6"
48,"2;3;4;5;7;8;9","0;1;6"
49,"0;2;3;5;6;7;8;9","1;4"
50,"0;1;2;3;5;7;8;9","4;6"
51,"1;2;3;5;6;7;8;9","0;4"
52,"2;5;6;7;8;9","0;1;3;4"
53,"0;2;3;5;6;7;8;9","1;4"
54,"0;2;3;4;6;7;8;9","1;5"
55,"0;1;3;5;7;8","2;4;6;9"
56,"1;2;3;4;6;7;8;9","0;5"
57,"1;3;4;8;9","0;2;5;6;7"
58,"0;1;2;3;5;6;8;9","4;7"
59,"0;2;6;7;8;9","1;3;4;5"
60,"0;1;2;5;6;7;9","3;4;8"
61,"1;2;3;5;6;7;8;9","0;4"
62,"2;4;6;7;8","0;1;3;5;9"
63,"0;2;5;6;7;8","1;3;4;9"
64,"0;5;7;8;9","1;2;3;4;6"
65,"0;3;4;6;7;8","1;2;5;9"
66,"1;2;3;4;6;7;9","0;5;8"
67,"0;1;2;3;6;7;8;9","4;5"
68,"0;4;5;8;9","1;2;3;6;7"
69,"2;6;7;8","0;1;3;4;5;9"
70,"0;1;3;4;5;7;8","2;6;9"
71,"1;2;6;7;8;9","0;3;4;5"
72,"0;3;5;6;8;9","1;2;4;7"
73,"0;1;2;6;7;9","3;4;5;8"
74,"0;2;4;5;8;9","1;3;6;7"
75,"0;2;4;5;6;7;8;9","1;3"
76,"0;2;5;6;7;8;9","1;3;4"
77,"1;2;4;6;7;8;9","0;3;5"
78,"1;3;5;7;8;9","0;2;4;6"
79,"1;2;4;5;6;8;9","0;3;7"
80,"0;2;4;7;9","1;3;5;6;8"
81,"0;2;6;7;8;9","1;3;4;5"
82,"0;5;8","1;2;3;4;6;7;9"
83,"0;1;2;3;8;9","4;5;6;7"
84,"0;1;4;5;7;8;9","2;3;6"
85,"1;2;3;4;6;7;8;9","0;5"
86,"0;3;5;6;8;9","1;2;4;7"
87,"0;2;3;7;8;9","1;4;5;6"
88,"1;5;6;7;8;9","0;2;3;4"
89,"1;2;5;6;8","0;3;4;7;9"
90,"0;1;2;3;4;5;8","6;7;9"
91,"1;2;4;6;7;8;9","0;3;5"
92,"2;3;4;6;7;8;9","0;1;5"
93,"0;1;4;5;7;8;9","2;3;6"
94,"0;1;2;3;5;7;8;9","4;6"
95,"1;2;3;4;7;8;9","0;5;6"
96,"1;2;4;5;7;8;9","0;3;6"
97,"2;3;4;5;7;8;9","0;1;6"
98,"1;2;3;5;6;7;8;9","0;4"
99,"0;1;2;3;5;7;8;9","4;6"
