epoch,benign_indices,malicious_indices
0,"0;1;4;5;6;7","2;3;8;9"
1,"0;1;3;4;5;6","2;7;8;9"
2,"0;1;2;3;5","4;6;7;8;9"
3,"0;1;2;3;4;5;6;9","7;8"
4,"0;2;3;4;5;6;8","1;7;9"
5,"0;2;3;6","1;4;5;7;8;9"
6,"0;1;2;3;4;5;6;8","7;9"
7,"0;1;3;4;5;6;8","2;7;9"
8,"1;4;9","0;2;3;5;6;7;8"
9,"0;1;2;3;4;5;6","7;8;9"
10,"0;1;3;6;8","2;4;5;7;9"
11,"0;2;3;4;5;6;8","1;7;9"
12,"0;2;3;4;5;6;9","1;7;8"
13,"0;1;3;4;5;6;9","2;7;8"
14,"0;1;2;3;5;6;8","4;7;9"
15,"0;1;2;3;5;6;8","4;7;9"
16,"2;3;4;5;6;9","0;1;7;8"
17,"0;2;5;6","1;3;4;7;8;9"
18,"0;4;5;6;7;9","1;2;3;8"
19,"2;5;6;8","0;1;3;4;7;9"
20,"0;2;4;5;6;7;8;9","1;3"
21,"0;2;3;4;6;7;8","1;5;9"
22,"0;2;3;4;5;6;8;9","1;7"
23,"0;2;3;4;5;6;8;9","1;7"
24,"0;3;4;5;7;8;9","1;2;6"
25,"0;3;5;7;8","1;2;4;6;9"
26,"3;5;6;8;9","0;1;2;4;7"
27,"3;4;5;7;8;9","0;1;2;6"
28,"0;2;4;6;7;8;9","1;3;5"
29,"3;7;8;9","0;1;2;4;5;6"
30,"0;2;3;4;5;7;8;9","1;6"
31,"3;4;6;7;8;9","0;1;2;5"
32,"0;1;4;5;7;8;9","2;3;6"
33,"7;8","0;1;2;3;4;5;6;9"
34,"3;4;6;7;8;9","0;1;2;5"
35,"2;3;4;6;7;8;9","0;1;5"
36,"2;3;4;5;6;7;8;9","0;1"
37,"0;2;3;5;7;8;9","1;4;6"
38,"2;5;7;8;9","0;1;3;4;6"
39,"2;3;4;5;7;8;9","0;1;6"
40,"2;4;5;6;7;8;9","0;1;3"
41,"0;2;3;6;7;8;9","1;4;5"
42,"0;3;4;7;8;9","1;2;5;6"
43,"0;1;2;3;5;7;8;9","4;6"
44,"2;3;5;6;7;8;9","0;1;4"
45,"0;2;6;7;8;9","1;3;4;5"
46,"1;2;4;5;6;8;9","0;3;7"
47,"0;1;3;4;7;8;9","2;5;6"
48,"0;3;4;5;6;8;9","1;2;7"
49,"0;3;4;5;6;7;8;9","1;2"
50,"0;1;3;4;6;7;8;9","2;5"
51,"0;3;5;6;7;8;9","1;2;4"
52,"0;1;2;4;5;7;8;9","3;6"
53,"0;2;3;5;6;7;8;9","1;4"
54,"0;1;2;3;7;8;9","4;5;6"
55,"0;2;3;6;7;8;9","1;4;5"
56,"0;2;5;6;7;8;9","1;3;4"
57,"0;1;2;4;7;8;9","3;5;6"
58,"0;1;2;4;6;7;9","3;5;8"
59,"5;6;7;8;9","0;1;2;3;4"
60,"0;1;2;4;6;7;8;9","3;5"
61,"1;3;5;6;7;8;9","0;2;4"
62,"2;5;6;7;8;9","0;1;3;4"
63,"0;2;4;7;8;9","1;3;5;6"
64,"0;2;5;6;7;8;9","1;3;4"
65,"2;4;6;7;8;9","0;1;3;5"
66,"1;2;4;6;7;8;9","0;3;5"
67,"1;4;6;7;8;9","0;2;3;5"
68,"2;3;4;5;6;7;8;9","0;1"
69,"3;4;6;7;8;9","0;1;2;5"
70,"1;2;3;6;7;8;9","0;4;5"
71,"0;3;6;7;8;9","1;2;4;5"
72,"0;2;3;4;6;7;8;9","1;5"
73,"0;1;2;4;7;8;9","3;5;6"
74,"0;3;4;5;6;7;8;9","1;2"
75,"3;6;7;8;9","0;1;2;4;5"
76,"2;3;4;5;6;7;8;9","0;1"
77,"0;1;2;5;6;7;8;9","3;4"
78,"0;2;3;6;7;8;9","1;4;5"
79,"0;5;6;7;8;9","1;2;3;4"
80,"0;2;3;4;5;7;8;9","1;6"
81,"0;2;7;8","1;3;4;5;6;9"
82,"3;8;9","0;1;2;4;5;6;7"
83,"0;1;2;3;6;7;8;9","4;5"
84,"2;3;4;7;8;9","0;1;5;6"
85,"1;2;3;4;6;7;8;9","0;5"
86,"2;3;5;6;7;8;9","0;1;4"
87,"0;2;3;5;6;7;8;9","1;4"
88,"0;3;4;5;6;7;8;9","1;2"
89,"4;6;7;8;9","0;1;2;3;5"
90,"0;1;6;7;8;9","2;3;4;5"
91,"7;8;9","0;1;2;3;4;5;6"
92,"1;2;3;4;5;7;8;9","0;6"
93,"1;3;4;5;7;8;9","0;2;6"
94,"1;3;4;5;7;8;9","0;2;6"
95,"0;3;7;8;9","1;2;4;5;6"
96,"0;2;3;6;7;8;9","1;4;5"
97,"0;2;3;4;7;8;9","1;5;6"
98,"0;2;3;5;7;8;9","1;4;6"
99,"0;2;3;4;5;7;8;9","1;6"
